username,name,food,happiness,birthday,last_used
Harry Potter,Hedwig,100,100,2023-11-20 06:25:39.654123,2023-11-27 06:36:44.516891
Harry Potter,Buckbeak,100,100,2023-11-20 06:25:59.600932,2023-11-27 06:26:21.754048
Hermione Granger,Crookshanks,100,100,2023-11-20 06:26:58.883895,2023-11-27 06:27:26.405132
Ron Weasley,Scabbers,100,100,2023-11-20 06:27:59.260086,2023-11-27 06:36:33.259595
Luna Lovegood,Thestral,100,100,2023-11-20 06:28:38.507453,2023-11-27 06:28:48.419215
Ginny Weasley,Arnold,100,100,2023-11-20 06:30:22.011823,2023-11-27 06:30:30.704693
Neville Longbottom,Trevor,100,100,2023-11-20 06:31:00.461545,2023-11-27 06:31:06.532413
Sirius Black,Padfoot,100,100,2023-11-20 06:31:32.783917,2023-11-27 06:31:38.902331
Remus Lupin,Moony,100,100,2023-11-20 06:32:06.638085,2023-11-27 06:32:14.493508
Albus Dumbledore,Fawkes,100,100,2023-11-20 06:32:54.727311,2023-11-27 06:33:02.041988
Minerva McGonagall,Professor Pawgonagall,100,100,2023-11-20 06:34:03.520284,2023-11-27 06:34:03.520301
